fojas,numero,ano
30282,12784,2024
47092,32694,2010
28511,14237,2020
61077,33044,2017
72197,38915,2016
13583,8512,2014
79769,48610,2014
27539,18289,2013
41721,28918,2010
37684,27027,2007
87526,33200,2025
26041,12071,2022
26820,13521,2019
30185,15990,2018
98198,36606,2025
109903,44296,2024
112154,45234,2024
16154,7660,2023
67931,34836,2018
17334,10874,2014
2198,1398,2013
17570,13346,2011
18036,12226,2010
6463,5244,1995
2297,1224,1988
23972,9310,2026
33932,15334,2023
91146,39929,2022
44590,20569,2021
83081,38324,2021
45546,21713,2020
28500,17745,2014
